species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,39,19,181,3750,MALE
Adelie,Torgersen,40,17,186,3800,FEMALE
Adelie,Torgersen,40,18,195,3250,FEMALE
Adelie,Torgersen,,,,,
Adelie,Torgersen,37,19,193,3450,FEMALE
Adelie,Torgersen,39,21,190,3650,MALE
Adelie,Torgersen,39,18,181,3625,FEMALE
Adelie,Torgersen,39,20,195,4675,MALE
Adelie,Torgersen,34,18,193,3475,
Adelie,Torgersen,42,20,190,4250,
Adelie,Torgersen,38,17,186,3300,
Adelie,Torgersen,38,17,180,3700,
Adelie,Torgersen,41,18,182,3200,FEMALE
Adelie,Torgersen,39,21,191,3800,MALE
Adelie,Torgersen,35,21,198,4400,MALE
Adelie,Torgersen,37,18,185,3700,FEMALE
Adelie,Torgersen,39,19,195,3450,FEMALE
Adelie,Torgersen,43,21,197,4500,MALE
Adelie,Torgersen,34,18,184,3325,FEMALE
Adelie,Torgersen,46,22,194,4200,MALE
Adelie,Biscoe,38,18,174,3400,FEMALE
Adelie,Biscoe,38,19,180,3600,MALE
Adelie,Biscoe,36,19,189,3800,FEMALE
Adelie,Biscoe,38,18,185,3950,MALE
Adelie,Biscoe,39,17,180,3800,MALE
Adelie,Biscoe,35,19,187,3800,FEMALE
Adelie,Biscoe,41,19,183,3550,MALE
Adelie,Biscoe,41,18,187,3200,FEMALE
Adelie,Biscoe,38,19,172,3150,FEMALE
Adelie,Biscoe,41,19,180,3950,MALE
Adelie,Dream,40,17,178,3250,FEMALE
Adelie,Dream,37,18,178,3900,MALE
Adelie,Dream,40,18,188,3300,FEMALE
Adelie,Dream,41,19,184,3900,MALE
Adelie,Dream,36,17,195,3325,FEMALE
Adelie,Dream,39,21,196,4150,MALE
Adelie,Dream,39,20,190,3950,MALE
Adelie,Dream,42,19,180,3550,FEMALE
Adelie,Dream,38,19,181,3300,FEMALE
Adelie,Dream,40,19,184,4650,MALE
Adelie,Dream,37,18,182,3150,FEMALE
Adelie,Dream,41,18,195,3900,MALE
Adelie,Dream,36,19,186,3100,FEMALE
Adelie,Dream,44,20,196,4400,MALE
Adelie,Dream,37,17,185,3000,FEMALE
Adelie,Dream,40,19,190,4600,MALE
Adelie,Dream,41,19,182,3425,MALE
Adelie,Dream,38,19,179,2975,
Adelie,Dream,36,18,190,3450,FEMALE
Adelie,Dream,42,21,191,4150,MALE
Adelie,Biscoe,40,18,186,3500,FEMALE
Adelie,Biscoe,40,19,188,4300,MALE
Adelie,Biscoe,35,18,190,3450,FEMALE
Adelie,Biscoe,42,20,200,4050,MALE
Adelie,Biscoe,35,18,187,2900,FEMALE
Adelie,Biscoe,41,19,191,3700,MALE
Adelie,Biscoe,39,18,186,3550,FEMALE
Adelie,Biscoe,41,19,193,3800,MALE
Adelie,Biscoe,37,17,181,2850,FEMALE
Adelie,Biscoe,38,19,194,3750,MALE
Adelie,Biscoe,36,17,185,3150,FEMALE
Adelie,Biscoe,41,21,195,4400,MALE
Adelie,Biscoe,38,17,185,3600,FEMALE
Adelie,Biscoe,41,18,192,4050,MALE
Adelie,Biscoe,36,17,184,2850,FEMALE
Adelie,Biscoe,42,18,192,3950,MALE
Adelie,Biscoe,36,16,195,3350,FEMALE
Adelie,Biscoe,41,19,188,4100,MALE
Adelie,Torgersen,36,17,190,3050,FEMALE
Adelie,Torgersen,42,19,198,4450,MALE
Adelie,Torgersen,34,19,190,3600,FEMALE
Adelie,Torgersen,40,18,190,3900,MALE
Adelie,Torgersen,40,17,196,3550,FEMALE
Adelie,Torgersen,46,19,197,4150,MALE
Adelie,Torgersen,36,18,190,3700,FEMALE
Adelie,Torgersen,43,19,195,4250,MALE
Adelie,Torgersen,41,17,191,3700,FEMALE
Adelie,Torgersen,37,19,184,3900,MALE
Adelie,Torgersen,36,16,187,3550,FEMALE
